record_type|record_id|source_year|source_file|source_sheet|row_number|programme|key_output|key_indicator|annual_target|achieved_output|variance|status|comment|source_url|source_name|retrieved_at
performance_record|performance_budget_performance_by_program_0132|2024-2025|kafue_2024_2025_performance.xlsx|Budget performance by Program|135|||1 Percentage of deliveries conducted by skilled Health Personnel|60|99|-39|||https://www.kafuecouncil.gov.zm/?page_id=195|kafue 2024 2025 performance|2026-09-11
performance_record|performance_budget_performance_by_program_0133|2024-2025|kafue_2024_2025_performance.xlsx|Budget performance by Program|136|||2 Proportion of Health Facilities with at least one staff trained in Emergency||||||https://www.kafuecouncil.gov.zm/?page_id=195|kafue 2024 2025 performance|2026-09-11
performance_record|performance_budget_performance_by_program_0134|2024-2025|kafue_2024_2025_performance.xlsx|Budget performance by Program|137|||Obstetric and Neonatal care (EmONC)|80|34|46|||https://www.kafuecouncil.gov.zm/?page_id=195|kafue 2024 2025 performance|2026-09-11
performance_record|performance_budget_performance_by_program_0135|2024-2025|kafue_2024_2025_performance.xlsx|Budget performance by Program|138||02 Immunization services provided against major infectious diseases|||||||https://www.kafuecouncil.gov.zm/?page_id=195|kafue 2024 2025 performance|2026-09-11
performance_record|performance_budget_performance_by_program_0136|2024-2025|kafue_2024_2025_performance.xlsx|Budget performance by Program|139|||1 Percentage of fully immunized children under one year|90|83|7|||https://www.kafuecouncil.gov.zm/?page_id=195|kafue 2024 2025 performance|2026-09-11
performance_record|performance_budget_performance_by_program_0137|2024-2025|kafue_2024_2025_performance.xlsx|Budget performance by Program|140||03 Treatment of common diseases and injuries services provided|||||||https://www.kafuecouncil.gov.zm/?page_id=195|kafue 2024 2025 performance|2026-09-11
performance_record|performance_budget_performance_by_program_0138|2024-2025|kafue_2024_2025_performance.xlsx|Budget performance by Program|141|||1 Anti Retroviral Therapy initiation rate|95|98|-3|||https://www.kafuecouncil.gov.zm/?page_id=195|kafue 2024 2025 performance|2026-09-11
performance_record|performance_budget_performance_by_program_0139|2024-2025|kafue_2024_2025_performance.xlsx|Budget performance by Program|142|||2 Malaria incidence rate per 1000 population|5|17|-12|||https://www.kafuecouncil.gov.zm/?page_id=195|kafue 2024 2025 performance|2026-09-11
performance_record|performance_budget_performance_by_program_0140|2024-2025|kafue_2024_2025_performance.xlsx|Budget performance by Program|143|||3 Percentage of health facilities with functional cold chain|100|100|0|||https://www.kafuecouncil.gov.zm/?page_id=195|kafue 2024 2025 performance|2026-09-11
performance_record|performance_budget_performance_by_program_0141|2024-2025|kafue_2024_2025_performance.xlsx|Budget performance by Program|144||04 Nutrition services provided|||||||https://www.kafuecouncil.gov.zm/?page_id=195|kafue 2024 2025 performance|2026-09-11
performance_record|performance_budget_performance_by_program_0142|2024-2025|kafue_2024_2025_performance.xlsx|Budget performance by Program|145|||1 Percentage of children supplemented with Micro Nutrients.|90|51|39|||https://www.kafuecouncil.gov.zm/?page_id=195|kafue 2024 2025 performance|2026-09-11
performance_record|performance_budget_performance_by_program_0143|2024-2025|kafue_2024_2025_performance.xlsx|Budget performance by Program|146|||2 Percentage of health facilities assessing children for stunting|100|100|0|||https://www.kafuecouncil.gov.zm/?page_id=195|kafue 2024 2025 performance|2026-09-11
performance_record|performance_budget_performance_by_program_0144|2024-2025|kafue_2024_2025_performance.xlsx|Budget performance by Program|147||05 Education, Community Health Disease prevention and control services provided|||||||https://www.kafuecouncil.gov.zm/?page_id=195|kafue 2024 2025 performance|2026-09-11
performance_record|performance_budget_performance_by_program_0145|2024-2025|kafue_2024_2025_performance.xlsx|Budget performance by Program|148|||1 Percentage of Health Facilities with 80% Community Based Volunteers trained in||||||https://www.kafuecouncil.gov.zm/?page_id=195|kafue 2024 2025 performance|2026-09-11
performance_record|performance_budget_performance_by_program_0146|2024-2025|kafue_2024_2025_performance.xlsx|Budget performance by Program|149|||Integrated Community Case Management|100|100|0|||https://www.kafuecouncil.gov.zm/?page_id=195|kafue 2024 2025 performance|2026-09-11
performance_record|performance_budget_performance_by_program_0147|2024-2025|kafue_2024_2025_performance.xlsx|Budget performance by Program|150|||2 Proportion of premise inspections for compliance conducted|80|88|-8|||https://www.kafuecouncil.gov.zm/?page_id=195|kafue 2024 2025 performance|2026-09-11
performance_record|performance_budget_performance_by_program_0148|2024-2025|kafue_2024_2025_performance.xlsx|Budget performance by Program|151||06 Essential Medicines services provided|||||||https://www.kafuecouncil.gov.zm/?page_id=195|kafue 2024 2025 performance|2026-09-11
performance_record|performance_budget_performance_by_program_0149|2024-2025|kafue_2024_2025_performance.xlsx|Budget performance by Program|152|||1 Percentage of Health facilities with atleast 80% fill rate during the period under|80||80|||https://www.kafuecouncil.gov.zm/?page_id=195|kafue 2024 2025 performance|2026-09-11
performance_record|performance_budget_performance_by_program_0150|2024-2025|kafue_2024_2025_performance.xlsx|Budget performance by Program|153|||review|100||100|||https://www.kafuecouncil.gov.zm/?page_id=195|kafue 2024 2025 performance|2026-09-11
